INFO - run_mri.py - 2025-02-10 13:11:52,814 - Starting training process 0
INFO - run_mri.py - 2025-02-10 13:11:52,816 - Config: data:
  dataset: MRI
  eval: /home/cidar/Desktop/MRI_superres_registration/data/Registration_slices/test/
  image_size1: 720
  image_size2: 512
  num_channels: 1
  train: /home/cidar/Desktop/MRI_superres_registration/data/Registration_slices/train/
device: !!python/object/apply:torch.device
- cuda
- 0
global_rank: 0
local_rank: 0
model:
  ema_rate: 0.999
  kernel_size: 9
  name: Kernel
  scaling_factors:
  - 0.5
  - 0.5
optim:
  beta1: 0.9
  eps: 1.0e-08
  grad_clip: 1.0
  lr: 0.0002
  optimizer: Adam
  warmup: 5000
  weight_decay: 0
seed: 42
training:
  batch_size: 4
  combined_loss: false
  epochs: 100
  eval_freq: 100
  lambda_sum: 0.01
  log_freq: 25
  loss: mse
  save_every: 10
  snapshot: true
  snapshot_freq_for_preemption: 500

INFO - run_mri.py - 2025-02-10 13:11:53,453 - Starting training loop at step 7600.
INFO - run_mri.py - 2025-02-10 13:11:54,211 - step: 25, training_loss: 1.65066e-03
INFO - run_mri.py - 2025-02-10 13:11:54,700 - step: 50, training_loss: 3.99683e-03
INFO - run_mri.py - 2025-02-10 13:11:55,187 - step: 75, training_loss: 1.76505e-03
INFO - run_mri.py - 2025-02-10 13:11:55,668 - step: 100, training_loss: 3.50165e-03
INFO - run_mri.py - 2025-02-10 13:11:55,688 - step: 100, eval_loss: 6.80020e-03
INFO - run_mri.py - 2025-02-10 13:11:56,164 - step: 125, training_loss: 1.85917e-03
INFO - run_mri.py - 2025-02-10 13:11:56,633 - step: 150, training_loss: 2.59249e-03
INFO - run_mri.py - 2025-02-10 13:11:57,103 - step: 175, training_loss: 2.99330e-03
INFO - run_mri.py - 2025-02-10 13:11:57,575 - step: 200, training_loss: 1.27636e-03
INFO - run_mri.py - 2025-02-10 13:11:57,592 - step: 200, eval_loss: 7.41959e-03
INFO - run_mri.py - 2025-02-10 13:11:58,056 - step: 225, training_loss: 1.80424e-03
INFO - run_mri.py - 2025-02-10 13:11:58,524 - step: 250, training_loss: 2.16464e-03
INFO - run_mri.py - 2025-02-10 13:11:58,982 - step: 275, training_loss: 3.67335e-03
INFO - run_mri.py - 2025-02-10 13:11:59,438 - step: 300, training_loss: 2.05758e-03
INFO - run_mri.py - 2025-02-10 13:11:59,456 - step: 300, eval_loss: 9.00604e-03
INFO - run_mri.py - 2025-02-10 13:11:59,921 - step: 325, training_loss: 2.32564e-03
INFO - run_mri.py - 2025-02-10 13:12:00,387 - step: 350, training_loss: 2.46147e-03
INFO - run_mri.py - 2025-02-10 13:12:00,852 - step: 375, training_loss: 2.91968e-03
INFO - run_mri.py - 2025-02-10 13:12:01,316 - step: 400, training_loss: 2.23490e-03
INFO - run_mri.py - 2025-02-10 13:12:01,338 - step: 400, eval_loss: 1.07315e-02
INFO - run_mri.py - 2025-02-10 13:12:01,806 - step: 425, training_loss: 1.32479e-03
INFO - run_mri.py - 2025-02-10 13:12:02,265 - step: 450, training_loss: 1.72516e-03
INFO - run_mri.py - 2025-02-10 13:12:02,735 - step: 475, training_loss: 1.91662e-03
INFO - run_mri.py - 2025-02-10 13:12:03,195 - step: 500, training_loss: 3.00326e-03
INFO - run_mri.py - 2025-02-10 13:12:03,220 - step: 500, eval_loss: 1.94907e-02
INFO - run_mri.py - 2025-02-10 13:12:03,686 - step: 525, training_loss: 1.75660e-03
INFO - run_mri.py - 2025-02-10 13:12:04,154 - step: 550, training_loss: 1.88783e-03
INFO - run_mri.py - 2025-02-10 13:12:04,861 - step: 25, training_loss: 1.88814e-03
INFO - run_mri.py - 2025-02-10 13:12:05,314 - step: 50, training_loss: 3.74176e-03
INFO - run_mri.py - 2025-02-10 13:12:05,759 - step: 75, training_loss: 1.55905e-03
INFO - run_mri.py - 2025-02-10 13:12:06,209 - step: 100, training_loss: 3.61850e-03
INFO - run_mri.py - 2025-02-10 13:12:06,233 - step: 100, eval_loss: 1.19069e-02
INFO - run_mri.py - 2025-02-10 13:12:06,682 - step: 125, training_loss: 1.74862e-03
INFO - run_mri.py - 2025-02-10 13:12:07,132 - step: 150, training_loss: 2.56817e-03
INFO - run_mri.py - 2025-02-10 13:12:07,580 - step: 175, training_loss: 2.71495e-03
INFO - run_mri.py - 2025-02-10 13:12:08,035 - step: 200, training_loss: 1.19993e-03
INFO - run_mri.py - 2025-02-10 13:12:08,059 - step: 200, eval_loss: 7.43644e-03
INFO - run_mri.py - 2025-02-10 13:12:08,506 - step: 225, training_loss: 1.62117e-03
INFO - run_mri.py - 2025-02-10 13:12:08,957 - step: 250, training_loss: 1.62069e-03
INFO - run_mri.py - 2025-02-10 13:12:09,407 - step: 275, training_loss: 3.65599e-03
INFO - run_mri.py - 2025-02-10 13:12:09,853 - step: 300, training_loss: 2.13845e-03
INFO - run_mri.py - 2025-02-10 13:12:09,871 - step: 300, eval_loss: 1.13780e-02
INFO - run_mri.py - 2025-02-10 13:12:10,319 - step: 325, training_loss: 2.07476e-03
INFO - run_mri.py - 2025-02-10 13:12:10,773 - step: 350, training_loss: 2.46007e-03
INFO - run_mri.py - 2025-02-10 13:12:11,220 - step: 375, training_loss: 2.73483e-03
INFO - run_mri.py - 2025-02-10 13:12:11,670 - step: 400, training_loss: 2.22984e-03
INFO - run_mri.py - 2025-02-10 13:12:11,693 - step: 400, eval_loss: 1.06580e-02
INFO - run_mri.py - 2025-02-10 13:12:12,141 - step: 425, training_loss: 1.30277e-03
INFO - run_mri.py - 2025-02-10 13:12:12,587 - step: 450, training_loss: 1.68425e-03
INFO - run_mri.py - 2025-02-10 13:12:13,034 - step: 475, training_loss: 1.81947e-03
INFO - run_mri.py - 2025-02-10 13:12:13,485 - step: 500, training_loss: 2.98256e-03
INFO - run_mri.py - 2025-02-10 13:12:13,500 - step: 500, eval_loss: 1.30524e-02
INFO - run_mri.py - 2025-02-10 13:12:13,951 - step: 525, training_loss: 1.77948e-03
INFO - run_mri.py - 2025-02-10 13:12:14,404 - step: 550, training_loss: 1.74594e-03
INFO - run_mri.py - 2025-02-10 13:12:15,089 - step: 25, training_loss: 1.91289e-03
INFO - run_mri.py - 2025-02-10 13:12:15,545 - step: 50, training_loss: 3.82841e-03
INFO - run_mri.py - 2025-02-10 13:12:15,993 - step: 75, training_loss: 1.54667e-03
INFO - run_mri.py - 2025-02-10 13:12:16,441 - step: 100, training_loss: 3.58191e-03
INFO - run_mri.py - 2025-02-10 13:12:16,464 - step: 100, eval_loss: 1.02167e-02
INFO - run_mri.py - 2025-02-10 13:12:16,915 - step: 125, training_loss: 1.73455e-03
INFO - run_mri.py - 2025-02-10 13:12:17,362 - step: 150, training_loss: 2.56572e-03
INFO - run_mri.py - 2025-02-10 13:12:17,814 - step: 175, training_loss: 2.63760e-03
INFO - run_mri.py - 2025-02-10 13:12:18,262 - step: 200, training_loss: 1.24555e-03
INFO - run_mri.py - 2025-02-10 13:12:18,283 - step: 200, eval_loss: 1.29201e-02
INFO - run_mri.py - 2025-02-10 13:12:18,729 - step: 225, training_loss: 1.60102e-03
INFO - run_mri.py - 2025-02-10 13:12:19,177 - step: 250, training_loss: 1.49951e-03
INFO - run_mri.py - 2025-02-10 13:12:19,626 - step: 275, training_loss: 3.69296e-03
INFO - run_mri.py - 2025-02-10 13:12:20,083 - step: 300, training_loss: 2.20046e-03
INFO - run_mri.py - 2025-02-10 13:12:20,105 - step: 300, eval_loss: 2.22813e-03
INFO - run_mri.py - 2025-02-10 13:12:20,552 - step: 325, training_loss: 1.97201e-03
INFO - run_mri.py - 2025-02-10 13:12:21,004 - step: 350, training_loss: 2.34874e-03
INFO - run_mri.py - 2025-02-10 13:12:21,457 - step: 375, training_loss: 2.70452e-03
INFO - run_mri.py - 2025-02-10 13:12:21,914 - step: 400, training_loss: 2.23086e-03
INFO - run_mri.py - 2025-02-10 13:12:21,931 - step: 400, eval_loss: 3.89678e-03
INFO - run_mri.py - 2025-02-10 13:12:22,393 - step: 425, training_loss: 1.30173e-03
INFO - run_mri.py - 2025-02-10 13:12:22,840 - step: 450, training_loss: 1.68491e-03
INFO - run_mri.py - 2025-02-10 13:12:23,288 - step: 475, training_loss: 1.79365e-03
INFO - run_mri.py - 2025-02-10 13:12:23,735 - step: 500, training_loss: 2.97048e-03
INFO - run_mri.py - 2025-02-10 13:12:23,756 - step: 500, eval_loss: 4.76983e-03
INFO - run_mri.py - 2025-02-10 13:12:24,203 - step: 525, training_loss: 1.77429e-03
INFO - run_mri.py - 2025-02-10 13:12:24,650 - step: 550, training_loss: 1.68945e-03
INFO - run_mri.py - 2025-02-10 13:12:25,339 - step: 25, training_loss: 1.91628e-03
INFO - run_mri.py - 2025-02-10 13:12:25,786 - step: 50, training_loss: 3.86790e-03
INFO - run_mri.py - 2025-02-10 13:12:26,232 - step: 75, training_loss: 1.54417e-03
INFO - run_mri.py - 2025-02-10 13:12:26,679 - step: 100, training_loss: 3.56561e-03
INFO - run_mri.py - 2025-02-10 13:12:26,700 - step: 100, eval_loss: 2.46048e-03
INFO - run_mri.py - 2025-02-10 13:12:27,149 - step: 125, training_loss: 1.72650e-03
INFO - run_mri.py - 2025-02-10 13:12:27,596 - step: 150, training_loss: 2.56485e-03
INFO - run_mri.py - 2025-02-10 13:12:28,042 - step: 175, training_loss: 2.60587e-03
INFO - run_mri.py - 2025-02-10 13:12:28,488 - step: 200, training_loss: 1.27651e-03
INFO - run_mri.py - 2025-02-10 13:12:28,513 - step: 200, eval_loss: 7.16124e-03
INFO - run_mri.py - 2025-02-10 13:12:28,970 - step: 225, training_loss: 1.59667e-03
INFO - run_mri.py - 2025-02-10 13:12:29,420 - step: 250, training_loss: 1.45625e-03
INFO - run_mri.py - 2025-02-10 13:12:29,867 - step: 275, training_loss: 3.70820e-03
INFO - run_mri.py - 2025-02-10 13:12:30,314 - step: 300, training_loss: 2.23375e-03
INFO - run_mri.py - 2025-02-10 13:12:30,335 - step: 300, eval_loss: 2.42867e-03
INFO - run_mri.py - 2025-02-10 13:12:30,781 - step: 325, training_loss: 1.92236e-03
INFO - run_mri.py - 2025-02-10 13:12:31,228 - step: 350, training_loss: 2.26743e-03
INFO - run_mri.py - 2025-02-10 13:12:31,680 - step: 375, training_loss: 2.70240e-03
INFO - run_mri.py - 2025-02-10 13:12:32,126 - step: 400, training_loss: 2.22699e-03
INFO - run_mri.py - 2025-02-10 13:12:32,149 - step: 400, eval_loss: 5.49877e-03
INFO - run_mri.py - 2025-02-10 13:12:32,596 - step: 425, training_loss: 1.30154e-03
INFO - run_mri.py - 2025-02-10 13:12:33,044 - step: 450, training_loss: 1.68560e-03
INFO - run_mri.py - 2025-02-10 13:12:33,491 - step: 475, training_loss: 1.78454e-03
INFO - run_mri.py - 2025-02-10 13:12:33,937 - step: 500, training_loss: 2.96508e-03
INFO - run_mri.py - 2025-02-10 13:12:33,958 - step: 500, eval_loss: 1.05293e-03
INFO - run_mri.py - 2025-02-10 13:12:34,405 - step: 525, training_loss: 1.76315e-03
INFO - run_mri.py - 2025-02-10 13:12:34,851 - step: 550, training_loss: 1.66214e-03
INFO - run_mri.py - 2025-02-10 13:12:35,531 - step: 25, training_loss: 1.91792e-03
INFO - run_mri.py - 2025-02-10 13:12:35,977 - step: 50, training_loss: 3.89402e-03
INFO - run_mri.py - 2025-02-10 13:12:36,423 - step: 75, training_loss: 1.54423e-03
INFO - run_mri.py - 2025-02-10 13:12:36,872 - step: 100, training_loss: 3.55316e-03
INFO - run_mri.py - 2025-02-10 13:12:36,888 - step: 100, eval_loss: 3.24083e-03
INFO - run_mri.py - 2025-02-10 13:12:37,338 - step: 125, training_loss: 1.72048e-03
INFO - run_mri.py - 2025-02-10 13:12:37,785 - step: 150, training_loss: 2.56182e-03
INFO - run_mri.py - 2025-02-10 13:12:38,231 - step: 175, training_loss: 2.58952e-03
INFO - run_mri.py - 2025-02-10 13:12:38,682 - step: 200, training_loss: 1.29575e-03
INFO - run_mri.py - 2025-02-10 13:12:38,708 - step: 200, eval_loss: 1.54214e-03
INFO - run_mri.py - 2025-02-10 13:12:39,158 - step: 225, training_loss: 1.59684e-03
INFO - run_mri.py - 2025-02-10 13:12:39,611 - step: 250, training_loss: 1.43591e-03
INFO - run_mri.py - 2025-02-10 13:12:40,058 - step: 275, training_loss: 3.70932e-03
INFO - run_mri.py - 2025-02-10 13:12:40,509 - step: 300, training_loss: 2.25251e-03
INFO - run_mri.py - 2025-02-10 13:12:40,525 - step: 300, eval_loss: 2.44946e-03
INFO - run_mri.py - 2025-02-10 13:12:40,971 - step: 325, training_loss: 1.89147e-03
INFO - run_mri.py - 2025-02-10 13:12:41,418 - step: 350, training_loss: 2.20439e-03
INFO - run_mri.py - 2025-02-10 13:12:41,864 - step: 375, training_loss: 2.70509e-03
INFO - run_mri.py - 2025-02-10 13:12:42,311 - step: 400, training_loss: 2.22324e-03
INFO - run_mri.py - 2025-02-10 13:12:42,333 - step: 400, eval_loss: 2.14908e-03
INFO - run_mri.py - 2025-02-10 13:12:42,779 - step: 425, training_loss: 1.30222e-03
INFO - run_mri.py - 2025-02-10 13:12:43,230 - step: 450, training_loss: 1.68555e-03
INFO - run_mri.py - 2025-02-10 13:12:43,678 - step: 475, training_loss: 1.78023e-03
INFO - run_mri.py - 2025-02-10 13:12:44,125 - step: 500, training_loss: 2.96422e-03
INFO - run_mri.py - 2025-02-10 13:12:44,145 - step: 500, eval_loss: 7.06259e-03
INFO - run_mri.py - 2025-02-10 13:12:44,592 - step: 525, training_loss: 1.75489e-03
INFO - run_mri.py - 2025-02-10 13:12:45,043 - step: 550, training_loss: 1.64245e-03
INFO - run_mri.py - 2025-02-10 13:12:45,755 - step: 25, training_loss: 1.91779e-03
INFO - run_mri.py - 2025-02-10 13:12:46,202 - step: 50, training_loss: 3.91535e-03
INFO - run_mri.py - 2025-02-10 13:12:46,648 - step: 75, training_loss: 1.54550e-03
INFO - run_mri.py - 2025-02-10 13:12:47,100 - step: 100, training_loss: 3.54381e-03
INFO - run_mri.py - 2025-02-10 13:12:47,120 - step: 100, eval_loss: 2.77636e-03
INFO - run_mri.py - 2025-02-10 13:12:47,566 - step: 125, training_loss: 1.71713e-03
INFO - run_mri.py - 2025-02-10 13:12:48,012 - step: 150, training_loss: 2.55872e-03
INFO - run_mri.py - 2025-02-10 13:12:48,459 - step: 175, training_loss: 2.58101e-03
INFO - run_mri.py - 2025-02-10 13:12:48,907 - step: 200, training_loss: 1.31157e-03
INFO - run_mri.py - 2025-02-10 13:12:48,927 - step: 200, eval_loss: 6.61730e-03
INFO - run_mri.py - 2025-02-10 13:12:49,373 - step: 225, training_loss: 1.59846e-03
INFO - run_mri.py - 2025-02-10 13:12:49,820 - step: 250, training_loss: 1.42212e-03
INFO - run_mri.py - 2025-02-10 13:12:50,267 - step: 275, training_loss: 3.71099e-03
INFO - run_mri.py - 2025-02-10 13:12:50,714 - step: 300, training_loss: 2.26737e-03
INFO - run_mri.py - 2025-02-10 13:12:50,730 - step: 300, eval_loss: 1.21630e-03
INFO - run_mri.py - 2025-02-10 13:12:51,176 - step: 325, training_loss: 1.86900e-03
INFO - run_mri.py - 2025-02-10 13:12:51,624 - step: 350, training_loss: 2.15146e-03
INFO - run_mri.py - 2025-02-10 13:12:52,072 - step: 375, training_loss: 2.70903e-03
INFO - run_mri.py - 2025-02-10 13:12:52,519 - step: 400, training_loss: 2.22031e-03
INFO - run_mri.py - 2025-02-10 13:12:52,540 - step: 400, eval_loss: 2.73771e-03
INFO - run_mri.py - 2025-02-10 13:12:52,986 - step: 425, training_loss: 1.30346e-03
INFO - run_mri.py - 2025-02-10 13:12:53,433 - step: 450, training_loss: 1.68586e-03
INFO - run_mri.py - 2025-02-10 13:12:53,882 - step: 475, training_loss: 1.77707e-03
INFO - run_mri.py - 2025-02-10 13:12:54,330 - step: 500, training_loss: 2.96390e-03
INFO - run_mri.py - 2025-02-10 13:12:54,347 - step: 500, eval_loss: 3.46506e-03
INFO - run_mri.py - 2025-02-10 13:12:54,799 - step: 525, training_loss: 1.74813e-03
INFO - run_mri.py - 2025-02-10 13:12:55,244 - step: 550, training_loss: 1.62585e-03
INFO - run_mri.py - 2025-02-10 13:12:55,942 - step: 25, training_loss: 1.91806e-03
INFO - run_mri.py - 2025-02-10 13:12:56,386 - step: 50, training_loss: 3.93523e-03
INFO - run_mri.py - 2025-02-10 13:12:56,831 - step: 75, training_loss: 1.54744e-03
INFO - run_mri.py - 2025-02-10 13:12:57,276 - step: 100, training_loss: 3.53622e-03
INFO - run_mri.py - 2025-02-10 13:12:57,297 - step: 100, eval_loss: 1.71776e-03
INFO - run_mri.py - 2025-02-10 13:12:57,740 - step: 125, training_loss: 1.71502e-03
INFO - run_mri.py - 2025-02-10 13:12:58,185 - step: 150, training_loss: 2.55678e-03
INFO - run_mri.py - 2025-02-10 13:12:58,628 - step: 175, training_loss: 2.57591e-03
INFO - run_mri.py - 2025-02-10 13:12:59,072 - step: 200, training_loss: 1.32659e-03
INFO - run_mri.py - 2025-02-10 13:12:59,089 - step: 200, eval_loss: 2.78220e-03
INFO - run_mri.py - 2025-02-10 13:12:59,531 - step: 225, training_loss: 1.60048e-03
INFO - run_mri.py - 2025-02-10 13:12:59,975 - step: 250, training_loss: 1.41108e-03
INFO - run_mri.py - 2025-02-10 13:13:00,421 - step: 275, training_loss: 3.71385e-03
INFO - run_mri.py - 2025-02-10 13:13:00,866 - step: 300, training_loss: 2.28026e-03
INFO - run_mri.py - 2025-02-10 13:13:00,889 - step: 300, eval_loss: 3.54160e-03
INFO - run_mri.py - 2025-02-10 13:13:01,345 - step: 325, training_loss: 1.85070e-03
INFO - run_mri.py - 2025-02-10 13:13:01,793 - step: 350, training_loss: 2.10249e-03
INFO - run_mri.py - 2025-02-10 13:13:02,240 - step: 375, training_loss: 2.71442e-03
INFO - run_mri.py - 2025-02-10 13:13:02,696 - step: 400, training_loss: 2.21765e-03
INFO - run_mri.py - 2025-02-10 13:13:02,712 - step: 400, eval_loss: 1.68927e-03
INFO - run_mri.py - 2025-02-10 13:13:03,156 - step: 425, training_loss: 1.30492e-03
INFO - run_mri.py - 2025-02-10 13:13:03,600 - step: 450, training_loss: 1.68654e-03
INFO - run_mri.py - 2025-02-10 13:13:04,045 - step: 475, training_loss: 1.77464e-03
INFO - run_mri.py - 2025-02-10 13:13:04,491 - step: 500, training_loss: 2.96374e-03
INFO - run_mri.py - 2025-02-10 13:13:04,507 - step: 500, eval_loss: 4.79078e-03
INFO - run_mri.py - 2025-02-10 13:13:04,957 - step: 525, training_loss: 1.74145e-03
INFO - run_mri.py - 2025-02-10 13:13:05,407 - step: 550, training_loss: 1.61076e-03
INFO - run_mri.py - 2025-02-10 13:13:06,106 - step: 25, training_loss: 1.91915e-03
INFO - run_mri.py - 2025-02-10 13:13:06,556 - step: 50, training_loss: 3.95505e-03
INFO - run_mri.py - 2025-02-10 13:13:07,011 - step: 75, training_loss: 1.54996e-03
INFO - run_mri.py - 2025-02-10 13:13:07,468 - step: 100, training_loss: 3.52915e-03
INFO - run_mri.py - 2025-02-10 13:13:07,497 - step: 100, eval_loss: 3.52974e-03
INFO - run_mri.py - 2025-02-10 13:13:07,963 - step: 125, training_loss: 1.71355e-03
INFO - run_mri.py - 2025-02-10 13:13:08,439 - step: 150, training_loss: 2.55580e-03
INFO - run_mri.py - 2025-02-10 13:13:08,899 - step: 175, training_loss: 2.57280e-03
INFO - run_mri.py - 2025-02-10 13:13:09,363 - step: 200, training_loss: 1.34139e-03
INFO - run_mri.py - 2025-02-10 13:13:09,382 - step: 200, eval_loss: 1.29677e-03
INFO - run_mri.py - 2025-02-10 13:13:09,843 - step: 225, training_loss: 1.60283e-03
INFO - run_mri.py - 2025-02-10 13:13:10,308 - step: 250, training_loss: 1.40169e-03
INFO - run_mri.py - 2025-02-10 13:13:10,765 - step: 275, training_loss: 3.71691e-03
INFO - run_mri.py - 2025-02-10 13:13:11,220 - step: 300, training_loss: 2.29176e-03
INFO - run_mri.py - 2025-02-10 13:13:11,238 - step: 300, eval_loss: 1.39878e-03
INFO - run_mri.py - 2025-02-10 13:13:11,693 - step: 325, training_loss: 1.83475e-03
INFO - run_mri.py - 2025-02-10 13:13:12,159 - step: 350, training_loss: 2.05521e-03
INFO - run_mri.py - 2025-02-10 13:13:12,622 - step: 375, training_loss: 2.72136e-03
INFO - run_mri.py - 2025-02-10 13:13:13,077 - step: 400, training_loss: 2.21500e-03
